scan_id,target,id,name,source,severity,cvss_score,url,port,protocol,cve,confirmed_by,boosted,description,remediation
3f4cd6ec-16c4-4998-b6aa-3b15850b561a,https://example.com,7f73c88e-1e5f-4ea7-a92e-fced17e792ba,Outdated Apache Version (2.4.49),nikto,critical,10.0,https://example.com,,,CVE-2021-41773,nuclei,True,Apache HTTP Server 2.4.49 is outdated and vulnerable to CVE-2021-41773 (path traversal / RCE).,Upgrade Apache to version 2.4.51 or later immediately. This vulnerability has public exploits available.
3f4cd6ec-16c4-4998-b6aa-3b15850b561a,https://example.com,8c729377-1877-414e-9102-e55a2f4888e2,Open Port 23/TCP (Telnet),nmap,critical,9.8,192.168.1.100,23,tcp,,,False,Telnet service is running on port 23. All communication including credentials is transmitted in plaintext.,Disable Telnet immediately and replace with SSH (port 22) with key-based authentication.
3f4cd6ec-16c4-4998-b6aa-3b15850b561a,https://example.com,a3283e6f-b737-4fbb-87bb-0fb7fd2e428f,Open Port 21/TCP (FTP),nmap,critical,9.6,192.168.1.100,21,tcp,,nuclei,True,FTP service detected on port 21. FTP transmits credentials and data in cleartext.,"Disable FTP and replace with SFTP or SCP. If FTP is required, enforce FTPS and restrict access by IP."
3f4cd6ec-16c4-4998-b6aa-3b15850b561a,https://example.com,360772eb-a8ca-435a-ac78-a51aa314d69a,SQL Injection,zap,critical,9.3,https://example.com/product?id=1,,,CVE-2023-67890,,False,"SQL injection vulnerability detected in the 'id' parameter. An attacker could extract, modify, or delete database content.",Replace all string-concatenated SQL with parameterised queries or prepared statements. Apply least-privilege DB accounts.
3f4cd6ec-16c4-4998-b6aa-3b15850b561a,https://example.com,dbb4b1a4-1138-4104-82c1-67341730e3e1,Cross-Site Scripting (Reflected),zap,high,8.9,https://example.com/search?q=<script>,,,CVE-2023-12345,nikto,True,Reflected XSS was detected in the 'search' parameter. User-supplied input is reflected in the response without proper encoding.,Implement context-sensitive output encoding for all user-controlled data. Apply a Content Security Policy.
3f4cd6ec-16c4-4998-b6aa-3b15850b561a,https://example.com,be4f503e-bace-4a92-b527-fd15fb6b8003,Exposed .git Directory,nuclei,high,7.5,https://example.com/.git/config,,,,,False,"The .git directory is publicly accessible, potentially exposing source code, credentials and deployment secrets.",Block access to .git at the web server level. Rotate any exposed credentials immediately.
3f4cd6ec-16c4-4998-b6aa-3b15850b561a,https://example.com,ae09b323-2a76-4c8c-ad38-f2ff96c57263,Missing Security Header: Content-Security-Policy,header_security,medium,5.5,https://example.com,,,,,False,"No CSP header found. Without a Content Security Policy, the application has no XSS mitigation at the browser level.",Define and deploy a Content-Security-Policy header. Start with 'default-src https:' and tighten iteratively.
3f4cd6ec-16c4-4998-b6aa-3b15850b561a,https://example.com,f3ba11d8-2396-4c4c-9159-89963b96d91a,Missing Security Header: Strict-Transport-Security,header_security,medium,5.3,https://example.com,,,,,False,HSTS header is not configured. The site is vulnerable to protocol downgrade attacks and SSL stripping.,Add: Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
3f4cd6ec-16c4-4998-b6aa-3b15850b561a,https://example.com,867521dd-ed4e-4e8b-80e9-4c7d3b96ec41,Directory Listing Enabled,nikto,medium,5.0,https://example.com/uploads/,,,,,False,"Directory listing is enabled on the web server, exposing internal file structure to unauthenticated users.",Disable directory listing: add 'Options -Indexes' in Apache or 'autoindex off;' in Nginx.
3f4cd6ec-16c4-4998-b6aa-3b15850b561a,https://example.com,b32007d2-0a56-4e36-8cb7-a0b224f215fa,Cookie Without HttpOnly Flag,zap,medium,4.3,https://example.com/login,,,,,False,"Session cookie 'PHPSESSID' is set without the HttpOnly flag, making it accessible to JavaScript and vulnerable to XSS-based session hijacking.",Add HttpOnly; Secure; SameSite=Strict to all session cookie Set-Cookie headers.
3f4cd6ec-16c4-4998-b6aa-3b15850b561a,https://example.com,5958190a-0aeb-4919-ab2a-f2868a0b7766,Server Version Disclosure via Server Header,header_security,low,2.6,https://example.com,,,,,False,The Server response header reveals: 'Apache/2.4.49 (Ubuntu)'. Version disclosure aids targeted attacks.,Configure 'ServerTokens Prod' in Apache or 'server_tokens off;' in Nginx to suppress version info.
3f4cd6ec-16c4-4998-b6aa-3b15850b561a,https://example.com,7a07c927-fccb-46a3-972b-4c013734551b,Open Port 443/TCP (HTTPS),nmap,info,0.0,192.168.1.100,443,tcp,,,False,HTTPS service running on port 443. Standard expected port — verify TLS configuration.,"Ensure TLS 1.2 or 1.3 only, disable weak cipher suites, and enable HSTS."
